Gene_model,Gene_type,Description
AT1G75600,protein_coding,"Description: Histone superfamily protein;(source:Araport11), Other Name: HTR14, Keywords: nucleus;mitochondrion;nucleus;protein heterodimerization activity;structural constituent of chromatin;seedling development stage;flower;pollen tube cell;root;rosette leaf;vascular leaf,"
AT1G75750,protein_coding,"Description: GA-responsive GAST1 protein homolog regulated by BR and GA antagonistically.  Possibly involved in cell elongation based on expression data The mRNA is cell-to-cell mobile., Other Name: GASA1;GAST1 PROTEIN HOMOLOG 1, Keywords: response to abscisic acid;response to brassinosteroid;response to gibberellin;unidimensional cell growth;extracellular region;mitochondrion;plant-type cell wall;molecular_function;IL.00 inflorescence just visible stage;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.08 eight leaves visible stage;LP.10 ten leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;cotyledon;endosperm;flower;flower pedicel;fruit;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;leaf trichome;petal;petiole;plant embryo;pollen;root;rosette leaf;seed;sepal;shoot apex;shoot system;stamen;stem;stigma;stomatal complex;vascular leaf;cell-to-cell mobile RNA,"
AT1G69480,protein_coding,"Description: EXS (ERD1/XPR1/SYG1) family protein;(source:Araport11), Other Name: N/A, Keywords: cellular response to phosphate starvation;phosphate ion transport;trans-Golgi network;plasma membrane;inositol hexakisphosphate binding;phosphate transmembrane transporter activity;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;seed;sepal;stamen;stem,"
AT1G69440,protein_coding,"Description: Encodes ARGONAUTE7; a member of the ARGONAUTE family, characterised by the presence of PAZ and PIWI domains. Involved in the regulation of developmental timing. Required for the accumulation of TAS3 ta-siRNAs but not for accumulation of miR171, miR173, miR390 or mi391.   Localized in mature rosette leaves and floral buds., Other Name: AGO7;ARGONAUTE7;ZIP;ZIPPY, Keywords: RNAi-mediated antiviral immune response;defense response to virus;lsiRNA processing;miRNA-mediated post-transcriptional gene silencing;regulation of development, heterochronic;ta-siRNA processing;vegetative phase change;regulatory ncRNA-mediated gene silencing;miRNA processing;cytoplasm;nucleus;cytoplasm;RNA binding;RNA endonuclease activity;LP.02 two leaves visible stage;LP.04 four leaves visible stage;LP.06 six leaves visible stage;LP.12 twelve leaves visible stage;flowering stage;mature plant embryo stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;plant embryo globular stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;flower pedicel;guard cell;hypocotyl;inflorescence meristem;leaf apex;leaf lamina base;petal;plant embryo;root;seed;sepal;shoot apex;shoot system;stem;vascular leaf;flower,"
AT1G69500,protein_coding,"Description: Encodes a cytochrome P450; designated CYP704B1. Expressed in the developing anthers.  Essential for pollen exine development. Mutations in CYP704B1 result in impaired pollen walls that lack a normal exine layer and exhibit a characteristic striped surface, termed zebra phenotype. Heterologous expression of CYP704B1 in yeast cells demonstrated that it catalyzes omega-hydroxylation of long-chain fatty acids, implicating these molecules in sporopollenin synthesis., Other Name: CYP704B1;MS26;cytochrome P450, family 704, subfamily B, polypeptide 1, Keywords: pollen exine formation;sporopollenin biosynthetic process;mitochondrion;alkane 1-monooxygenase activity;heme binding;iron ion binding;long-chain fatty acid omega-hydroxylase activity;flowering stage;petal differentiation and expansion stage;plant embryo cotyledonary stage;anther;carpel;collective leaf structure;flower;petal;seed;sepal;flower pedicel;fruit pedicel;petal vascular system;sepal;sepal vascular system,"
AT1G69490,protein_coding,"Description: Encodes a member of the NAC transcription factor gene family.  It is expressed in floral primordia and upregulated by AP3 and PI.  Its expression is associated with leaf senescence. The mRNA is cell-to-cell mobile., Other Name: ANAC029;ATNAP;Arabidopsis NAC domain containing protein 29;NAC-LIKE, ACTIVATED BY AP3/PI;NAC-like, activated by AP3/PI;NAP, Keywords: flower development;fruit ripening;leaf senescence;multidimensional cell growth;embryo development ending in seed dormancy;fruit ripening;regulation of DNA-templated transcription;nucleus;DNA-binding transcription factor activity;protein binding;transcription cis-regulatory region binding;D locules established stage;LP.04 four leaves visible stage;flowering stage;petal differentiation and expansion stage;plant embryo bilateral stage;plant embryo cotyledonary stage;vascular leaf senescent stage;carpel;cauline leaf;collective leaf structure;flower;guard cell;inflorescence meristem;leaf lamina base;petal;plant embryo;pollen;primary root apical meristem;quiescent center;root;root stele;seed;sepal;stamen;stem;vascular leaf;cell-to-cell mobile RNA,"
AT1G75720,protein_coding,"Description: WEB family protein (DUF827);(source:Araport11), Other Name: N/A, Keywords: molecular_function;LP.02 two leaves visible stage;petal differentiation and expansion stage;flower;hypocotyl;inflorescence meristem;leaf apex;root;vascular leaf,"
AT1G75630,protein_coding,"Description: vacuolar H+-pumping ATPase 16 kD proteolipid (ava-p) mRNA; The mRNA is cell-to-cell mobile., Other Name: AVA-P4;VACUOLAR H+-PUMPING ATPASE 16 KDA PROTEOLIPID SUBUNIT 4, Keywords: membrane;chloroplast;plasma membrane;vacuole;ATP hydrolysis activity;protein binding;proton-transporting ATPase activity, rotational mechanism;L mature pollen stage;M germinated pollen stage;cultured plant cell;guard cell;pollen;pollen tube cell;cell-to-cell mobile RNA,"
AT1G49800,protein_coding,"Description: Homolog of PIP1., Other Name: PRECURSOR OF PAMP-INDUCED PEPTIDE-LIKE 1;PREPIPL1, Keywords: innate immune response;nitrate import;regulation of root development;apoplast;extracellular region;hormone activity;flowering stage;pollen;seed coat;sepal;stamen,"
AT1G49830,protein_coding,"Description: basic helix-loop-helix (bHLH) DNA-binding superfamily protein;(source:Araport11), Other Name: N/A, Keywords: regulation of DNA-templated transcription;regulation of transcription by RNA polymerase II;nucleus;nucleus;DNA-binding transcription factor activity;DNA-binding transcription factor activity, RNA polymerase II-specific;RNA polymerase II cis-regulatory region sequence-specific DNA binding;protein binding;protein dimerization activity;mature plant embryo stage;petal differentiation and expansion stage;collective leaf structure;flower;petal;seed;sepal;shoot apex,"
